,album,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,release_year
113,Rounds,6,unspoken,0.0263,0.518,0.569,0.654,0.272,-6.924,0.0325,165.094,0.399,31,4,0,2003
36,Beautiful Rewind,5,kool fm,0.00811,0.781,0.44,0.101,0.0807,-11.28,0.114,130.981,0.0805,31,1,1,2013
70,Ringer,2,ribbons,0.00063,0.687,0.75,0.00329,0.0805,-11.466,0.0557,131.992,0.662,31,10,0,2008
44,Pink,2,lion,0.0198,0.801,0.74,0.87,0.0672,-10.485,0.0427,127.003,0.588,32,1,1,2012
47,Pink,5,128 harps,0.0261,0.778,0.773,0.00108,0.0769,-13.638,0.0913,127.985,0.446,32,7,0,2012
46,Pink,4,ocoras,0.0304,0.779,0.824,0.898,0.121,-13.037,0.0632,125.008,0.321,32,7,1,2012
31,Morning / Evening,2,evening side,0.762,0.482,0.412,0.865,0.0777,-15.238,0.0728,119.993,0.107,32,0,1,2015
32,Beautiful Rewind,1,gong,0.469,0.614,0.811,0.884,0.0944,-11.18,0.0782,159.984,0.473,32,7,1,2013
35,Beautiful Rewind,4,ba teaches yoga,0.879,0.548,0.469,0.959,0.118,-15.928,0.0345,125.012,0.784,33,1,0,2013
56,There Is Love in You,6,this unfolds,0.514,0.769,0.473,0.0186,0.0879,-11.3,0.157,128.812,0.768,33,7,1,2010
118,Rounds,1,hands,0.25,0.333,0.835,0.719,0.124,-7.997,0.22,89.997,0.614,33,2,1,2003
45,Pink,3,jupiters,0.000278,0.676,0.569,0.738,0.115,-12.266,0.0502,125.01,0.0395,34,6,0,2012
134,Pause,7,everything is alright,0.133,0.608,0.857,0.703,0.151,-8.729,0.0361,119.986,0.961,34,5,0,2001
30,Morning / Evening,1,morning side,0.276,0.611,0.461,0.307,0.0971,-12.925,0.0432,127.074,0.248,35,0,0,2015
53,There Is Love in You,3,circling,0.961,0.416,0.661,0.909,0.102,-10.685,0.0305,184.519,0.392,35,7,1,2010
119,Rounds,2,she moves she,0.0218,0.792,0.935,0.917,0.0615,-3.728,0.0599,114.033,0.473,35,9,0,2003
55,There Is Love in You,5,sing,0.152,0.84,0.562,0.261,0.679,-9.745,0.175,121.975,0.796,36,5,1,2010
48,Pink,6,pyramid,0.00124,0.778,0.588,0.894,0.0736,-12.103,0.0552,128.001,0.0773,36,9,1,2012
58,There Is Love in You,8,plastic people,0.298,0.678,0.737,0.896,0.231,-9.788,0.0568,123.995,0.408,36,10,1,2010
125,Rounds,8,as serious as your life,0.0298,0.817,0.866,0.623,0.0643,-2.771,0.0452,107.013,0.781,37,10,0,2003
50,Pink,8,pinnacles,0.257,0.718,0.767,0.155,0.238,-12.314,0.0493,126.018,0.502,37,2,1,2012
41,Beautiful Rewind,10,unicorn,0.734,0.662,0.265,0.926,0.0818,-18.991,0.0634,150.021,0.0396,38,9,1,2013
121,Rounds,4,my angel rocks back and forth,0.455,0.673,0.644,0.845,0.207,-10.599,0.031,121.026,0.319,38,9,1,2003
25,New Energy,10,10 midi,0.981,0.537,0.0743,0.826,0.0944,-24.607,0.0464,61.889,0.113,38,6,1,2017
28,New Energy,13,gentle soul,0.988,0.216,0.00585,0.902,0.0916,-34.014,0.0485,94.024,0.0582,38,5,0,2017
26,New Energy,11,memories,0.762,0.393,0.393,0.866,0.107,-14.891,0.0388,128.004,0.0391,39,11,1,2017
52,There Is Love in You,2,love cry,0.637,0.752,0.791,0.751,0.1,-12.4,0.0554,116.004,0.11,39,10,0,2010
22,New Energy,7,falls 2,0.982,0.291,0.05,0.936,0.0814,-31.928,0.0358,75.51,0.193,39,8,0,2017
123,Rounds,6,unspoken,0.0263,0.518,0.569,0.654,0.272,-6.924,0.0325,165.094,0.399,40,4,0,2003
19,New Energy,4,tremper,0.946,0.219,0.533,0.185,0.804,-25.386,0.344,74.53,0.769,41,9,1,2017
23,New Energy,8,you are loved,0.91,0.649,0.464,0.926,0.111,-11.497,0.0378,120.996,0.233,41,11,1,2017
51,There Is Love in You,1,angel echoes,0.514,0.651,0.529,0.0187,0.738,-8.598,0.0357,114.998,0.154,41,7,0,2010
16,New Energy,1,alap,0.992,0.326,0.0431,0.967,0.0991,-21.172,0.0436,127.713,0.0347,42,2,1,2017
21,New Energy,6,scientists,0.472,0.676,0.54,0.79,0.0755,-10.028,0.0356,121.967,0.304,43,0,1,2017
24,New Energy,9,sw9 9sl,0.592,0.71,0.832,0.924,0.098,-9.759,0.0371,128.99,0.282,45,4,0,2017
12,Sixteen Oceans,13,bubbles at overlook 25th march 2019,0.918,0.525,0.712,0.612,0.172,-23.966,0.0902,57.756,0.562,45,10,1,2020
29,New Energy,14,planet,0.467,0.672,0.762,0.862,0.111,-10.114,0.0747,126.983,0.232,45,0,1,2017
59,There Is Love in You,9,she just likes to fight,0.788,0.732,0.504,0.828,0.0996,-11.647,0.0302,118.111,0.701,46,2,1,2010
